Site,Subsample number,Height,Hits
27acres_Exclosure,1,10,3
27acres_Exclosure,1,30,0
27acres_Exclosure,1,50,0
27acres_Exclosure,1,70,0
27acres_Exclosure,1,90,1
27acres_Exclosure,1,110,1
27acres_Exclosure,1,130,0
27acres_Exclosure,1,150,0
27acres_Exclosure,1,170,0
27acres_Exclosure,1,190,0
27acres_Exclosure,1,210,0
27acres_Exclosure,1,230,0
27acres_Exclosure,1,250,0
27acres_Exclosure,1,270,0
27acres_Exclosure,1,290,0
27acres_Exclosure,1,310,0
27acres_Exclosure,2,10,4
27acres_Exclosure,2,30,2
27acres_Exclosure,2,50,4
27acres_Exclosure,2,70,2
27acres_Exclosure,2,90,1
27acres_Exclosure,2,110,1
27acres_Exclosure,2,130,0
27acres_Exclosure,2,150,0
27acres_Exclosure,2,170,0
27acres_Exclosure,2,190,0
27acres_Exclosure,2,210,0
27acres_Exclosure,2,230,0
27acres_Exclosure,2,250,0
27acres_Exclosure,2,270,0
27acres_Exclosure,2,290,0
27acres_Exclosure,2,310,0
27acres_Exclosure,3,10,10
27acres_Exclosure,3,30,10
27acres_Exclosure,3,50,1
27acres_Exclosure,3,70,2
27acres_Exclosure,3,90,0
27acres_Exclosure,3,110,0
27acres_Exclosure,3,130,0
27acres_Exclosure,3,150,0
27acres_Exclosure,3,170,0
27acres_Exclosure,3,190,0
27acres_Exclosure,3,210,0
27acres_Exclosure,3,230,0
27acres_Exclosure,3,250,0
27acres_Exclosure,3,270,0
27acres_Exclosure,3,290,0
27acres_Exclosure,3,310,0
27acres_Exclosure,4,10,10
27acres_Exclosure,4,30,10
27acres_Exclosure,4,50,4
27acres_Exclosure,4,70,2
27acres_Exclosure,4,90,1
27acres_Exclosure,4,110,0
27acres_Exclosure,4,130,2
27acres_Exclosure,4,150,3
27acres_Exclosure,4,170,4
27acres_Exclosure,4,190,4
27acres_Exclosure,4,210,3
27acres_Exclosure,4,230,0
27acres_Exclosure,4,250,0
27acres_Exclosure,4,270,0
27acres_Exclosure,4,290,0
27acres_Exclosure,4,310,0
27acres_Exclosure,5,10,1
27acres_Exclosure,5,30,3
27acres_Exclosure,5,50,2
27acres_Exclosure,5,70,2
27acres_Exclosure,5,90,2
27acres_Exclosure,5,110,1
27acres_Exclosure,5,130,1
