Site,Exclosure,Day,Trap,Agelenidae,Anthomyiidae,Anthribidae,Aphididae,Apioninae,Asteiidae,Camillidae,Canacidae,Carabidae,Carnidae,Cicadellidae,Clubionidae,Coccinellidae,Crabronidae,Delphacidae,Diapriidae,Diastatidae,Dolichopodidae,Entomobryidae,Fanniidae,Forficulidae,Formicidae,Gnaphosidae,Hahniidae,Ichneumonidae,Isotomidae,Latridiidae,Linyphiidae,Lithobiidae,Lycosidae,Macrosternodesmidae,Miturgidae,Muscidae,Mymaridae,Nemastomatidae,Oniscidae,Panorpidae,Periscelididae,Phalangiidae,Phoridae,Platypezidae,Pompilidae,Psychodidae,Pyroglyphidae,Rhagionidae,Scathophagidae,Sciaridae,Sciomyzidae,Sphaeroceridae,Staphylinidae,Syrphidae,Tetragnathidae,Tetranychidae,Trombiculidae,Zodariidae,Trap biomass
Broomerscorner,Exclosure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,0,0,0,0,0,1,0,2,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02081
Broomerscorner,Exclosure,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,8,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.01858
Broomerscorner,Control,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01574
Broomerscorner,Control,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00834
Broomerscorner,Exclosure,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.01618
Broomerscorner,Exclosure,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.00085
Broomerscorner,Control,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00787
Broomerscorner,Control,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.02277
Oaklandslegg,Exclosure,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.01227
Oaklandslegg,Exclosure,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00608
