Site,Plot,mixed_grasses_dry_wt_g,Unsorted_residue_dry_wt_g,Dead_Organic_Matter_dry_wt_g,Carex_muricata_ssp_l,Juncus_effusus,Acer_campestre,Agrimonia_eupatoria,Ajuga_reptans,Anagalis_arvensis,Arum_maculatum,Betula_pendula,Betula_pubescens,Calystegia_sepium,Cardamine_flexuosa,Carduus_crispus,Carpinus_betula,Centaurea_erythraea,Centaurea_nigra,Cerastium_fontanum,Chamerion_angustifolium,Chenopodium_polyspernum,Circaea_lutetiana,Cirsium_arvense,Cirsium_palustre,Cirsium_spp.,Cirsium_vulgare,Convolvulous_arvensis,Crategus_monogyna,Crepis_capillaris,Crepis_vesicaria,Cruciata_laevipes,Dactylorhiza_fuchsii,Digitalis_purpurea,Epilobium_ciliatum,Epilobium_hirstum,Epilobium_montanum,Epliobium_parviflorum,Epilobium_spp.,Epilobium_tetragonum,Euonymous_europeaus,Fraxinus_excelsior,Galium_aparine,Galeopsis_spp.,Geranium_dissectum,Geranium_spp.,Glechoma_hederacea,Hedera_helix,Heracleum_sphondylium,Humulus_lupulus,Hyacinthoides_non-scripta,Hypochaeris_radiata,Lamium_album,Lapsana_communis,Lathyrus_nissola,Lathyrus_pratensis,leucanthenum_vulgare,Lonicera_periclymenum,Lotus_corniculatus,Lotus_pedunculatus,Malva_moschata,Lysimachia_nummularia,Mentha_arvensis,Mercuralis_perennis,Moehringia_trinervia,Myosotis_arvensis,Oenanthe_crocata,Persicaria_hydropiper,Picris_echiodies,Pinus_spp.,Pinus_spp._(shade/canopy),Pinus_sylvestris,Plantago_major,Populus__x_canescens,Populus__x_canescens_(shade/canopy),Potentilla_erecta,Potentilla_reptans,Primula_vulgaris,Prunella_vulgaris,Prunus_spinosa,Prunus_spp.,Pseudotsuga_menziesii,Pulicaria_dysenterica,Quercus_robur,Quercus_robur_(shade/canopy),Ranunculus_acris,Ranuunculus_repens,Ribes_idaeus,Rosa_canina,Rosa_canina,Rubus_frut._Agg,Rubus_frut._Agg_(shade/canopy),Rumex_acetosa,Rumex_conglomeratus,Rumex_crispus,Rumex_obtusifolius,Rumex_sanguineus,Salix_caprea,Salix_cinerea,Sambucus_nigra,Scrophularia_nodosa,Senecio_erucifolius,Senecio_jacobaea,Senecio_vulgaris,Silaum_silaus,Solanum_dulcamara,Sonchus_arvensis,Sonchus_asper,Sorbus_torminalis,Spergularia_arvensis,Stachys_palustris,Stachys_sylvatica,Stellaria_graminea,Stellaria_holostea,Taraxacum_off._Agg,Teucrium_scorodonia,Trifolium_dubium,Tragopogon_pratensis,Trifolium_pratense,Trifolium_repens,Torilis_japonica,Ulex_europaeus,Urtica_dioica,Veronica_arvensis,Veronica_chamaedrys,Veronica_officinalis,Veronica_serpyllifolia,Vicia_cracca,Vicia_hirsuta,Vicia_sativa,Vicia_sativa_segetalis,Vicia_tetrasperma,Viola_riviniana
27Acres,Open_west,86.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0
27Acres,Exclosure,48.5,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27Acres,Open_east,144.98,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brook5,Exclosure,72.96,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brook5,Open_west,132.05,8.54,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.09,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.16,0,0,0,0,0,0,0,0,0,0
Brook5,Open_east,69.38,23.23,39.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brook6,Open_north,52.69,0,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.62,0,0,0,0,0,0,0,0,0,0,0,0.26,0
Brook6,Open_south,51.18,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brook6,Exclosure,249.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookbuild,Open_west,1.4,0,38.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,95.7,0,0,0,0,0,0,0,0,0,0
