FieldName,Plot,Quadrat,Sward_height_A_m,Sward_height_B_m
27Acres,Exclosure,North,0.7,NA
27Acres,Exclosure,South,0.5,NA
27Acres,Exclosure,East,0.27,NA
27Acres,Exclosure,West,0.25,NA
27Acres,Exclosure,centre,0.23,NA
27Acres,Open_east,East,0.87,0.7
27Acres,Open_east,South,0.42,0.4
27Acres,Open_east,North,0.41,0.16
27Acres,Open_east,centre,0.39,0.34
27Acres,Open_east,West,0.37,0.18
27Acres,Open_west,South,0.75,NA
27Acres,Open_west,East,0.7,NA
27Acres,Open_west,centre,0.69,NA
27Acres,Open_west,North,0.63,NA
27Acres,Open_west,West,0.3,NA
Brook5,Exclosure,West,1.41,1.33
Brook5,Exclosure,East,0.75,0.7
Brook5,Exclosure,South,0.6,1.1
Brook5,Exclosure,North,0.6,1.35
Brook5,Exclosure,centre,0.31,1.38
Brook5,Open_east,East,1.45,1.3
Brook5,Open_east,North,0.95,0.9
Brook5,Open_east,West,0.71,0.92
Brook5,Open_east,centre,0.6,0.55
Brook5,Open_east,South,0.35,0.5
Brook5,Open_west,centre,1.5,1.2
Brook5,Open_west,South,1.5,1.2
Brook5,Open_west,East,1.45,1.7
Brook5,Open_west,West,1.45,1.7
Brook5,Open_west,North,1.1,1.05
Brook6,Exclosure,North,0.7,0.68
Brook6,Exclosure,centre,0.52,0.54
Brook6,Exclosure,East,0.32,0.45
Brook6,Exclosure,West,0.27,0.34
Brook6,Exclosure,South,0.06,0.15
Brook6,Open_north,East,0.6,0.45
Brook6,Open_north,North,0.55,0.75
Brook6,Open_north,South,0.35,0.55
Brook6,Open_north,West,0.22,0.53
Brook6,Open_north,centre,0.13,0.39
Brook6,Open_south,West,1.1,1.15
Brook6,Open_south,centre,1.02,1.23
Brook6,Open_south,South,0.9,0.87
Brook6,Open_south,East,0.9,1.05
Brook6,Open_south,North,0.66,0.98
Brookbuild,Exclosure,centre,1.4,1.4
Brookbuild,Exclosure,North,1.3,1.1
Brookbuild,Exclosure,West,1.15,1.1
Brookbuild,Exclosure,South,1.15,1.5
Brookbuild,Exclosure,East,1.07,1.05
Brookbuild,Open_east,East,1.1,1.05
Brookbuild,Open_east,North,1,1.2
Brookbuild,Open_east,South,0.97,0.86
Brookbuild,Open_east,West,0.95,0.82
Brookbuild,Open_east,centre,0.9,0.95
Brookbuild,Open_west,North,1.12,1.3
Brookbuild,Open_west,South,1.11,1.51
Brookbuild,Open_west,centre,1.05,1.3
Brookbuild,Open_west,West,0.69,1.1
Brookbuild,Open_west,East,0.64,0.5
Broomers,Exclosure,South,0.75,0.8
Broomers,Exclosure,West,0.6,0.4
Broomers,Exclosure,North,0.58,0.51
Broomers,Exclosure,centre,0.49,0.44
Broomers,Exclosure,East,0.35,0.55
Broomers,Open_east,South,0.8,0.7
Broomers,Open_east,centre,0.56,0.24
Broomers,Open_east,West,0.54,0.54
Broomers,Open_east,East,0.45,0.55
Broomers,Open_east,North,0.4,0.42
Broomers,Open_west,South,0.8,0.65
Broomers,Open_west,North,0.75,0.8
Broomers,Open_west,centre,0.63,0.47
Broomers,Open_west,West,0.42,0.6
Broomers,Open_west,East,0.4,0.75
NewBarn,Exclosure,East,1,0.87
NewBarn,Exclosure,West,0.75,0.72
NewBarn,Exclosure,North,0.5,0.35
NewBarn,Exclosure,South,0.45,0.45
NewBarn,Exclosure,centre,0.45,1.05
NewBarn,Open_east,East,1.7,0.72
NewBarn,Open_east,North,0.8,0.75
NewBarn,Open_east,West,0.51,0.55
NewBarn,Open_east,centre,0.44,0.12
NewBarn,Open_east,South,0.22,0.65
NewBarn,Open_west,West,0.54,0.23
NewBarn,Open_west,East,0.25,0.54
NewBarn,Open_west,North,0.25,0.55
NewBarn,Open_west,centre,0.14,0.32
NewBarn,Open_west,South,0.04,0.05
Oakland,Exclosure,East,0.75,0.55
Oakland,Exclosure,centre,0.55,0.31
Oakland,Exclosure,West,0.23,0.37
Oakland,Exclosure,North,0.22,0.22
Oakland,Exclosure,South,0.19,0.22
Oakland,Open_east,South,0.85,0.95
Oakland,Open_east,North,0.7,0.4
Oakland,Open_east,centre,0.41,0.04
Oakland,Open_east,West,0.27,0.3
Oakland,Open_east,East,0.17,0.17
