Field_name,_count,_mean,_stdev,permpast
Barn Field,2593,0.180063458,0.610290637,0
Bentons,1573,0.221901914,0.88177049,0
Bentons Lane 1,14646,0.858289712,1.284061342,0
Bentons Lane 3,3654,4.09097338,2.975836672,0
Bentons Place,1863,0.130146817,0.637240163,0
Blacksmiths,5432,0.27554131,0.607786326,0
Brookhouse 10,3790,0.087236706,0.380714027,0
Brookhouse 11,3233,1.575814967,2.945772049,0
Brookhouse 12,1672,5.911734106,4.33084732,0
Brookhouse 13,5145,0.262602783,0.61354329,0
Brookhouse 2,5689,2.296415179,2.074679321,0
Brookhouse 4,6002,0.641185381,1.217234106,0
Brookhouse 5,3667,0.025839076,0.238776668,0
Brookhouse 6,6021,0.272741823,0.783056197,0
Brookhouse 7,1760,0.794588028,1.512977273,0
Brookhouse 8,8574,2.634072275,2.834056087,0
Brookhouse 9,5625,3.577223825,2.74079403,0
Brookhouse B,2494,0.034359345,0.181577509,0
Brookhouse Buildings,4136,0.015331527,0.14491081,0
Brookhouse C,2821,0.031591995,0.186005787,0
Brookhouse D,1925,0.254480377,0.47198915,0
Brookhouse E,5024,0.262889902,0.454814145,0
Brookhouse F,1600,0.378816616,0.713639608,0
Broomers Corner,15767,0.915045621,1.138238236,0
Bull Field,2596,0.52789768,1.162717844,0
Clappers,2538,0.935489723,2.286278283,0
Crabtree,4580,1.622261852,2.468538862,0
Dial Post 1,4531,0.435046452,1.279155389,0
Dial Post 2,4726,0.134647845,0.854222246,0
Fresco East,5414,0.183071826,0.534750267,0
Fresco West,4554,0.104125034,0.323226457,0
Hammer,3598,2.644262936,3.157429553,0
Hampshire Buildings Big,3439,0.082679893,0.266599668,0
Hampshire Buildings Small,2412,0.001217142,0.028287049,0
Hampshires 1,7150,0.720473466,1.014326662,0
Hampshires 2,5060,0.38193195,0.662286795,0
Honeypools Barn,9084,1.456078956,2.434730966,0
Honeypools Barn North,4878,0.592482508,1.296093434,0
Honeypools House,3315,3.825521408,4.136786573,0
Keens Field,970,0.085285111,0.418331932,0
Lashmere,4005,0.027161582,0.17778045,0
Lucas,3276,0.00386438,0.123315635,0
Middle Link,2068,0.066596857,0.322433661,0
New Barn 1,7645,0.150126862,0.422327349,0
New Barn 2,6983,0.77244809,1.18269867,0
New Barn 3,5230,0.723881711,0.951076136,0
New Barn 4,3980,0.486641402,0.808303614,0
New Barn 5,4057,0.274520045,0.815478771,0
New Barn 6,2751,0.534280936,0.822321927,0
New Barn 7,4940,0.855053778,1.119122841,0
New Barn Bottom,3349,0.001516548,0.054355312,1
New Barn Lane 1,3429,0.229896963,0.615106364,0
Oak Field,1747,0.660060246,1.367714623,0
Oaklands 1,3897,0.962205941,1.95473882,0
Oaklands 2,6158,0.385022711,0.800292192,0
Oaklands 3,5568,0.144682122,0.423367198,0
Oaklands 4,2907,0.198155919,0.489617685,0
Oaklands 5,5299,0.499397944,0.987218684,0
Oaklands 6,1795,0.746351673,1.452778598,0
Pond Field,4462,0.01364059,0.190311317,1
Pound Corner,1968,0.001055901,0.031303758,0
Rainbow,5242,3.130023928,3.177933408,0
Salts,1174,0.019474467,0.225042532,1
Smokehouse 1,4310,1.872958477,2.152934222,0
Smokehouse 2,2012,0.808813307,1.30317763,0
Smokehouse 3,2599,1.048491102,1.156064567,0
Tench Ford,2603,0.001132027,0.057744483,0
Twenty Seven Acres,10474,2.640352918,2.328651495,0
Waterworks East,2211,1.414447455,1.82240701,0
Waterworks West,2313,3.928123816,3.480223482,0
Wheelers,4829,0.286932933,0.673800586,0
Wickwoods,9162,0.540475331,1.090873279,0
Wild Flower Field,1029,0.012945821,0.174757601,1
Wild Flower Meadow,2248,0.137574113,0.718831619,1
Woggs,4203,3.1621248,3.357145496,0
Woggs Bottom,3902,4.9293371,4.369102748,0
