Site,Treatment,DBH_cm,Ht_m,Species,Width_m,Length_m
27Acres,E,0.5,1.8,Blackthorn,NA,NA
27Acres,E,0.4,1.9,Blackthorn,NA,NA
27Acres,E,1,2,Blackthorn,NA,NA
27Acres,E,NA,3.2,Blackthorn_patch,3.7,3.7
27Acres,E,NA,3.8,Blackthorn_patch,3.4,3.4
27Acres,E,1,2,Oak,NA,NA
27Acres,E,1,2.1,Oak,NA,NA
27Acres,E,0.7,2.1,Oak,NA,NA
27Acres,E,0.8,2.1,Oak,NA,NA
27Acres,E,NA,3,Rose_patch,1.5,2
27Acres,C,1.5,2.8,Blackthorn,NA,NA
27Acres,C,2,3.2,Blackthorn,NA,NA
27Acres,C,0,1,Blackthorn,NA,NA
27Acres,C,0,0.8,Blackthorn,NA,NA
Brook6,E,0.5,1.4,Oak,NA,NA
Broomers,E,4.5,3.5,Blackthorn,NA,NA
Broomers,E,1,3,Blackthorn,NA,NA
Broomers,E,5,4.3,Blackthorn,NA,NA
Broomers,E,NA,3,Blackthorn_patch,7,3
Broomers,E,0.7,2.1,Rose,NA,NA
Broomers,C,5,3.5,Blackthorn,NA,NA
Broomers,C,1.6,2.5,Blackthorn,NA,NA
Broomers,C,0.9,2,Blackthorn,NA,NA
Broomers,C,NA,2.4,Blackthorn_patch,2,2
Broomers,C,NA,1.8,Blackthorn_patch,1,1
Broomers,C,NA,3.5,Blackthorn_patch,2.5,2.5
NewBarn,E,NA,3.3,Blackthorn_patch,2.4,5.6
NewBarn,E,NA,1.6,Blackthorn_patch,1.4,1.2
NewBarn,E,NA,3.4,Blackthorn_patch,2,1.8
NewBarn,E,7.6,5,Oak,NA,NA
NewBarn,E,8.2,4.8,Oak,NA,NA
NewBarn,E,NA,3.2,Rose_patch,2,1.2
NewBarn,E,NA,4,Rose_patch,3.4,1.2
NewBarn,E,NA,3,Rose_patch,1.8,3.8
NewBarn,E,NA,2.8,Rose_patch,3.2,5.4
Oakland,E,0,1.4,Blackthorn,NA,NA
Oakland,E,9,4.7,Oak,NA,NA
Oakland,E,8.6,3.9,Oak,NA,NA
Oakland,E,8.2,3.7,Oak,NA,NA
Oakland,E,0,3.2,Oak,NA,NA
Oakland,E,6,3.7,Oak,NA,NA
Oakland,E,3.5,3.2,Oak,NA,NA
Oakland,C,11,4.9,Oak,NA,NA
Rainbow,E,6.6,4.1,Sallow,NA,NA
Rainbow,E,1,1.3,Sallow,NA,NA
Rainbow,E,5,5,Sallow,NA,NA
Rainbow,E,4.5,4.1,Sallow,NA,NA
Rainbow,E,7.5,5.2,Sallow,NA,NA
Rainbow,E,5,4.8,Sallow,NA,NA
Rainbow,E,10.5,6.4,Sallow,NA,NA
Rainbow,E,5.5,5.4,Sallow,NA,NA
Rainbow,E,7.6,5.4,Sallow,NA,NA
Rainbow,E,5,4.4,Sallow,NA,NA
Rainbow,C,3.5,5.6,Sallow,NA,NA
WaterWorks,E,6,4.3,Oak,NA,NA
WaterWorks,E,1.9,3.4,Oak,NA,NA
WaterWorks,E,2,2.6,Sallow,NA,NA
WaterWorks,E,11.52,8,Sallow,NA,NA
WaterWorks,E,11.52,8,Sallow,NA,NA
WaterWorks,E,11.52,8,Sallow,NA,NA
WaterWorks,E,11.52,8,Sallow,NA,NA
WaterWorks,E,11.52,8,Sallow,NA,NA
WaterWorks,E,11.52,8,Sallow,NA,NA
WaterWorks,E,11.52,8,Sallow,NA,NA
WaterWorks,E,8.7,8,Sallow,NA,NA
WaterWorks,E,8.7,8,Sallow,NA,NA
WaterWorks,E,8.7,8,Sallow,NA,NA
WaterWorks,E,8.7,8,Sallow,NA,NA
WaterWorks,E,8.7,8,Sallow,NA,NA
WaterWorks,E,8.7,8,Sallow,NA,NA
WaterWorks,E,8,8,Sallow,NA,NA
WaterWorks,E,8,8,Sallow,NA,NA
WaterWorks,E,8,8,Sallow,NA,NA
WaterWorks,E,8,8,Sallow,NA,NA
WaterWorks,E,6.8,3.8,Sallow,NA,NA
WaterWorks,E,11.52,8,Sallow,NA,NA
WaterWorks,E,8.7,8,Sallow,NA,NA
WaterWorks,E,8,8,Sallow,NA,NA
Wildflower,E,6.6,4.3,Oak,NA,NA
Wildflower,E,2,2.8,Oak,NA,NA
Wildflower,E,0,1,Oak,NA,NA
Wildflower,E,12.7,3.5,Oak,NA,NA
Wildflower,E,0,1.1,Oak,NA,NA
Wildflower,E,6,4.5,Oak,NA,NA
Wildflower,E,0,1.2,Oak,NA,NA
